Pos,Team,Continent,Group,TotalMatch,Pld,W,D,L,GF,GA,GD,Qualification,Pts,HW,HL,HD,HAW,HAL,HAD,HomeGoals,HomeGAgainst,HAGoals,HAAgainst,Games_Win,Games_WinHome,Games_WinAway
1,Rusia,Europe,A,0,0,0,0,0,0,0,0,Qualification to 2018 FIFA World Cup,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0.4
1, Iran,Asia,B,120,10,6,4,0,10,2,8,Qualification to 2018 FIFA World Cup,22,4,0,1,2,0,3,8,2,2,0,0.4,0.8,0
2, South Korea,Asia,F,120,10,4,3,3,11,10,1,Qualification to 2018 FIFA World Cup,15,4,0,1,0,3,2,9,5,2,5,0.3,0.4,0.2
3, Syria,Asia,,120,10,3,4,3,9,8,1,none,13,2,0,3,1,3,1,6,3,3,5,0.4,0.6,0.2
4, Uzbekistan,Asia,,120,10,4,1,5,6,7,_1,none,13,3,1,1,1,4,0,4,1,2,6,0.3,0.4,0.2
5, China PR,Asia,,120,10,3,3,4,8,10,_2,none,12,2,1,2,1,3,1,2,1,6,9,0.2,0.4,0
6, Qatar,Asia,,120,10,2,1,7,8,15,_7,none,7,2,3,0,0,4,1,5,6,3,9,0.6,0.8,0.4
1, Japan,Asia,H,120,10,6,2,2,17,7,10,Qualification to 2018 FIFA World Cup,20,4,1,0,2,1,2,11,4,6,3,0.6,0.8,0.4
2, Saudi Arabia,Asia,A,120,10,6,1,3,17,10,7,Qualification to 2018 FIFA World Cup,19,4,0,1,2,3,0,8,2,9,8,0.5,0.8,0.2
3, Australia,Asia,C,120,10,5,4,1,16,11,5,Qualification to 2018 FIFA World Cup,19,4,0,1,1,1,3,10,4,6,7,0.4,0.6,0.2
4, United Arab Emirates,Asia,,120,10,4,1,5,10,13,_3,none,13,3,2,0,1,3,1,7,5,3,8,0.3,0.4,0.2
5, Iraq,Asia,,120,10,3,2,5,11,12,_1,none,11,2,1,2,1,4,0,8,4,3,8,0,0,0
6, Thailand,Asia,,120,10,0,2,8,6,24,_18,none,2,0,3,2,0,5,0,4,9,2,14,0.666666667,0.666666667,0.333333333
1, Tunisia,Africa,G,120,6,4,2,0,11,4,7,Qualification to 2018 FIFA World Cup,14,2,0,1,1,1,1,4,1,7,3,0.666666667,0.666666667,0.333333333
2, DR Congo,Africa,,120,6,4,1,1,14,7,7,none,13,2,0,1,1,2,0,9,3,5,4,0.166666667,0.333333333,0
3, Libya,Africa,,120,6,1,1,4,4,10,_6,none,4,1,2,0,0,2,1,2,3,2,7,0.166666667,0.333333333,0.333333333
4, Guinea,Africa,,120,6,1,0,5,6,14,_8,none,3,1,2,0,1,3,0,5,8,1,6,0.666666667,1,0.333333333
1, Nigeria,Africa,D,120,6,4,1,1,11,6,5,Qualification to 2018 FIFA World Cup,13,3,0,0,1,1,1,7,1,3,5,0.333333333,0.333333333,0.333333333
2, Zambia,Africa,,120,6,2,2,2,8,7,1,none,8,1,1,1,1,1,1,6,5,2,2,0.166666667,0.333333333,0
3, Cameroon,Africa,,120,6,1,4,1,7,9,_2,none,7,1,0,2,0,1,2,4,2,3,7,0.166666667,0.333333333,0
4, Algeria,Africa,,120,6,1,1,4,6,10,-4,none,4,1,1,1,0,3,0,4,2,2,8,0.5,0.666666667,0.333333333
1, Morocco,Africa,B,120,6,3,3,0,11,0,11,Qualification to 2018 FIFA World Cup,12,2,0,1,1,0,2,9,0,2,0,0.333333333,0.333333333,0.333333333
2, Ivory Coast,Africa,,120,6,2,2,2,7,5,2,none,8,1,2,0,1,0,2,4,5,3,0,0.166666667,0,0.333333333
3, Gabon,Africa,,120,6,1,3,2,2,7,_5,none,6,0,1,2,1,1,1,0,3,2,4,0,0,0
4, Mali,Africa,,120,6,0,4,2,1,9,_8,none,4,0,0,3,0,2,1,0,0,1,9,0.666666667,0.666666667,0.666666667
1, Senegal,Africa,H,120,6,4,2,0,10,3,7,Qualification to 2018 FIFA World Cup,14,2,0,1,2,0,1,4,1,6,2,0.333333333,0.333333333,0.333333333
2, Burkina Faso,Africa,,120,6,2,3,1,10,6,4,none,9,1,0,2,1,1,1,7,3,3,3,0.333333333,0.333333333,0.333333333
3, Cape Verde,Africa,,120,6,2,0,4,4,12,_8,none,6,1,2,0,1,2,0,2,5,2,7,0.166666667,0.333333333,0
4, South Africa,Africa,,120,6,1,1,4,7,10,_3,none,4,1,2,0,0,2,1,4,5,3,5,0.666666667,1,0.333333333
