Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification,iran,South Korea,Syria, Uzbekistan, China PR, Qatar,,,,
1, Iran,10,6,4,0,10,2,8,22,4,0,1,2,0,3,Qualification to 2018 FIFA World Cup,—,1–0,2–2,2–0,1–0,2–0,,,,
2, South Korea,10,4,3,3,11,10,1,15,4,0,1,0,3,2,,0–0,—,1–0,2–1,3–2,3–2,,,,
3, Syria,10,3,4,3,9,8,1,13,2,0,3,1,3,1,Advance to fourth round,0–0,0–0,—,1–0,2–2,3–1,,,,
4, Uzbekistan,10,4,1,5,6,7,_1,13,3,1,1,1,4,0,,0–1,0–0,1–0,—,2–0,1–0,,,,
5, China PR,10,3,3,4,8,10,_2,12,2,1,2,1,3,1,,0–0,1–0,0–1,1–0,—,0–0,,,,
6, Qatar,10,2,1,7,8,15,_7,7,2,3,0,0,4,1,,0–1,3–2,1–0,0–1,1–2,—,,,,
,,,,,,,,,,,,,,,,, Japan, Saudi Arabia, Australia, United Arab Emirates, Iraq, Thailand,,,,
1, Japan,10,6,2,2,17,7,10,20,4,1,0,2,1,2,Qualification to 2018 FIFA World Cup,—,2–1,2–0,1–2,2–1,4–0,,,,
2, Saudi Arabia,10,6,1,3,17,10,7,19,4,0,1,2,3,0,,1–0,—,2–2,3–0,1–0,1–0,,,,
3, Australia,10,5,4,1,16,11,5,19,4,0,1,1,1,3,Advance to fourth round,1–1,3–2,—,2–0,2–0,2–1,,,,
4, United Arab Emirates,10,4,1,5,10,13,_3,13,3,2,0,1,3,1,,0–2,2–1,0–1,—,2–0,3–1,,,,
5, Iraq,10,3,2,5,11,12,_1,11,2,1,2,1,4,0,,1–1,1–2,1–1,1–0,—,4–0,,,,
6, Thailand,10,0,2,8,6,24,_18,2,0,3,2,0,5,0,,0–2,0–3,2–2,1–1,1–2,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Tunisia, DR Congo, Libya, Guinea,,,,,,
1, Tunisia,6,4,2,0,11,4,7,14,2,0,1,1,1,1,Qualification to 2018 FIFA World Cup,—,2–1,0–0,2–0,,,,,,
2, DR Congo,6,4,1,1,14,7,7,13,2,0,1,1,2,0,,2–2,—,4–0,3–1,,,,,,
3, Libya,6,1,1,4,4,10,_6,4,1,2,0,0,2,1,,0–1,1–2,—,1–0,,,,,,
4, Guinea,6,1,0,5,6,14,_8,3,1,2,0,1,3,0,,1–4,1–2,3–2,—,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Nigeria, Zambia, Cameroon, Algeria,,,,,,
1, Nigeria,6,4,1,1,11,6,5,13,3,0,0,1,1,1,Qualification to 2018 FIFA World Cup,—,1–0,4–0,3–1,,,,,,
2, Zambia,6,2,2,2,8,7,1,8,1,1,1,1,1,1,,1–2,—,2–2,3–1,,,,,,
3, Cameroon,6,1,4,1,7,9,_2,7,1,0,2,0,1,2,,1–1,1–1,—,2–0,,,,,,
4, Algeria,6,1,1,4,6,10,-4,4,1,1,1,0,3,0,,3–0,0–1,1–1,—,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Morocco, Ivory Coast, Gabon, Mali,,,,,,
1, Morocco,6,3,3,0,11,0,11,12,2,0,1,1,0,2,Qualification to 2018 FIFA World Cup,—,0–0,3–0,6–0,,,,,,
2, Ivory Coast,6,2,2,2,7,5,2,8,1,2,0,1,0,2,,0–2,—,1–2,3–1,,,,,,
3, Gabon,6,1,3,2,2,7,_5,6,0,1,2,1,1,1,,0–0,0–3,—,0–0,,,,,,
4, Mali,6,0,4,2,1,9,_8,4,0,0,3,0,2,1,,0–0,0–0,0–0,—,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Senegal, Burkina Faso, Cape Verde, South Africa,,,,,,
1, Senegal,6,4,2,0,10,3,7,14,2,0,1,2,0,1,Qualification to 2018 FIFA World Cup,—,0–0,2–0,2–1,,,,,,
2, Burkina Faso,6,2,3,1,10,6,4,9,1,0,2,1,1,1,,2–2,—,4–0,1–1,,,,,,
3, Cape Verde,6,2,0,4,4,12,_8,6,1,2,0,1,2,0,,0–2,0–2,—,2–1,,,,,,
4, South Africa,6,1,1,4,7,10,_3,4,1,2,0,0,2,1,,0–2,3–1,1–2,—,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Egypt, Uganda, Ghana, Congo,,,,,,
1, Egypt,6,4,1,1,8,4,4,13,3,0,0,1,1,1,Qualification to 2018 FIFA World Cup,—,1–0,2–0,2–1,,,,,,
2, Uganda,6,2,3,1,3,2,1,9,2,0,1,0,1,2,,1–0,—,0–0,1–0,,,,,,
3, Ghana,6,1,4,1,7,5,2,7,0,0,3,1,1,1,,1–1,0–0,—,1–1,,,,,,
